id,comment_text,year,stars,target,neutral,negative
1,Ежиный шабаш,2024,4,2
2,отучился 4года работаю курьером самоката,2023,1,3
3,учусь на протяжении 3 лет мне нравиться узнал много нового осталось еще год думаю поступать в магистратуру,2023,4,1
4,приятный университет вежливые сотрудники и охранники подскажут если заблудитесь Вкусные перекусы в столовой,2023,5,1
5,в гардеробе работают ужасные сотрудники Хамское и неуважительное отношение,2023,1,3
6,одна звезда за работников гардероба,2023,1,3
7,любимый вуз на все времена,2023,5,1
8,ррррррррррррр,2023,4,2
9,я там учусь,2023,5,2
10,самый конченный институт в мире Хотите мучиться вам сюда,2022,1,3
11,Хамское отношение сотрудника справочной Спросила информацию насчет лицензии университета на что мне на повышенных тонах отвечает дама Девушка посмотрите сами на сайте Я уточняю в каком разделе это смотреть ответ убил Девушка я не брошу щас свою работу и не буду идти с вами по сайту Но что то подсказывает мне что работа этой женщины и заключается в том чтобы информировать людей о справках документах и тд,2023,1,3
12,Не поступайте на платное в это заведение, особенно на юрфак Чего то получится добиться и как то получится учиться  если у вас напрочь отсутствует самоуважение и вы готовы стелиться перед каждым преподавателем Лучше потратить деньги на другое место благо в городе и рядом есть альтернативы,2023,1,3
13,Хорошее учебное заведение,2023,5,1
14,Очень эстетичный институт добрые преподаватели и самый лучший Яндекс Лицей,2023,5,1
15,Возможно в других институтах АГУ более менее все хорошо но юридический это какой то ад за такие баснословные деньги мы в итоге получаем абсолютно НИЧЕГО ужасно не компетентные преподаватели отвратительная организация учебного процесса и всё это в совокупности В ЮРИДИЧЕСКОМ ПОГОЛОВНО СИДЯТ КОРРУПЦИОНЕРЫ пора уже что то с этим делать или прикрыть всю эту лавочку,2023,1,3
16,Устроили кишлак посреди города одни таджики да казахи с купленными результатами егэ Россиянам здесь делать нечего Отдельно хочу отметить Алексея Еремина преподавателя этики который отказался идти по программе изучая тему родины ведь не все из России лишь бы не обидеть выходцев с аула,2023,1,3
17,Нет парковочных мест,2023,3,2
18,За 5 звёзд жду красный диплом  PS Ну или автомат по предмету,2023,5,2
19,Очень хороший вуз Хожу туда на дополнительные занятия по теме Идеи матиматической олимпиады Принимают от пятиклассников до 11ти классников,2023,5,1
20,Учусь в юридическом институте за который плачу 130 тыс в год что очееень дорого для данного университета и при этом уровень образования оставляет желать лучшего нулевая организация учебного процесса некомпетентные преподаватели Отдельного внимания стоит вопрос с общежитием Университет абитуриентвм обещает хорошее новое общежитие но не уточняет что после первого курса вам либо вообще не предоставят общежитие либо дадут общежитие сарай политехитческого университета где невозможно просто находиться Возникает вопрос о честности руководства университета интересно куда уходят деньги студентов Ведь самый лучший университет Алтайского края не может построить общежития на всех своих учащихся Студенты ЮИ и так платят огромные суммы которые увеличиваются с каждым годом в геометрической прогрессии а получают выселение из общежития и нулевое образование Всем советую задуматься а стоит ли сюда поступать,2023,1,3
21,Согласна с многими что деньги на данный вуз совсем не стоить тратить Знаний ноль ответственности и уважения у вышестоящих ноль Важные даты сдачи экзаменов предзащит защит меняются по пять раз на неделе Могли требовать принести документы которые делаются неделю за два дня до крайней даты Но если хотите получить диплом ничего не делая этот вуз для вас Плюсом будьте головы что чтобы заселиться в общежитие после первого курса вам нужно станцевать голый танец с бубном на горе Эверест С каждый годом правила заселения всё ухудшаются и ухудшаются 8 часов мытья полов активное участие хорошая учеба никаких замечаний замечания могут появиться из неоткуда из-за плохих личных отношений с вышестоящими При этом узнать что вы не заселены на следующий год можно только в 20х числах августа за неделю а то и меньше до начала учебы Найти за это время себе жилье просто невозможно,2023,3,3
22,Надеюсь что кому то поможет этот отзыв и человек прочитавший его действительно прислушается и поймёт что поступать лучше куда угодно только не в АГУ закончила ИГН пишу конкретно про этот институт Здесь не дают реальные знания просто берут плату за обучение Большинству преподавателей все равно на студентов лекции проходили очень монотонно лишь бы отчитать материал а часто и вовсе отменялись Что касается написания дипломной работы от преподавателей тоже не стоит ждать помощи нам элементарно не смогли предоставить актуальную методичку получалось что писали на интуитивном уровне а потом вносили кучу правок выполняли уйму ненужной работы которой могло и не быть будь тут хоть что то организовано адекватно О бесплатных проверках работ на антиплагиат можно забыть платишь 100000₽ в год а 500₽ на проверку ВКР зажмут и скажут платите из своего кармана ваши проблемы Хотя в других университетах предоставляли не одну и даже не пять а больше бесплатных проверок Ну и самый неорганизованный момент в этом месте вопрос общежития 1 курс заселяют всех хотя сейчас уже и не факт остальные года можно сразу искать квартиру хотя в приемной комиссии до сих пор обманывают студентов и обещают места и бюджетникам и платникам заселяют только иностранцев не важно что у них долги по оплате долги по учебе они отвратительно ведут себя в общежитии это никого не волнует а если ты исправно платишь 22 тыс и причем одним платежом так как гражданам РФ по какой то причине запрещено делить платежи по месяцам опять же данная опция только для иностранцев если ты отлично учишься не имеешь ни одного долга соблюдаешь порядок общежития но если ты старше 1 курса и учишься платно не заселят Вот такие правила Ну из хорошего столовка в корпусе на Димитрова и то только первые два года потом испортилось тоже брусничные кексы и мясо по французски конечно там отпад были реально скучаю по ним как жаль что это единственный положительный момент за 4 года обучения,2023,1,3
23,Отношение приёмной комиссии,2023,5,1
24,ммммммммм,2023,1,2
25,Пытаясь поступить уже с подачи заявления начинаются проблемы Личный кабинет абитуриента выдает ошибку после подачи через госуслуги  в приемной комиссии моего заявления не нашли и при этом лично никто уже не примет документы Приезжала туда два дня подряд мне ничем не помогли сказали быть на связи и все обязательно проверят и перезвонят как итог  последний день подачи документов сами не звонят трубку в приемной комисси не берут Заинтересованность в абитуриентах на высшем уровне,2023,1,3
26,Лучший вуз,2023,5,1
27,Здесь не учат а только берут плату за обучение Родители подумайте прежде чем сюда отдавать детей Преподаватели периодически просто не приходят на лекции  а дети едут с пересадками на пары Два дня в неделю лекции онлайн Один день только физкультура хрен доберешся туда по морозу Занятия получается только три дня очно  по 2- 3 пары и отменяют часто  Люди  вообще что это за учёба такая какие специалисты выйдут из данного заведения и это главный университет Алтайского края знаний не дают никаких Пожалели сто раз что пошли сюда учится  просто потеряли год ,2023,1,3
28,Там моя девушка,2023,5,2
29,Писала диплом у Коноваловой на юрфаке Ходила к ней на проверку и консультации и она все читала давала рекомендации все согласовывала И вот перед защитой выдаёт что 2 глава вообще не о том Как Как она это не видела раньше Перед защитой читая сшитый диплом говорит такое Полное разочарование в вузе и в человечности Зачем так делать,2023,1,3
30,Каждый год одна и та же проблема с общежитием Заселяют иностранцев и первый курс бюджетного набора до остальных студентов администрации нет никакого дела Даже не звонят и не пишут чтобы предупредить об отсутствии мест в общежитиях Спасибо АлтГУ за то что каждый год август сентябрь мысли только об общежитии а точнее его отсутствии,2022,1,3
31,Только поступила не важно кто что но я достигнуть смогу своей цели ,2022,4,2
32,Опорный университет города Барнаула и Алтайского края,2022,4,2
33,Отвратительное учебное заведение Преподавателям нет никакого дела до студентов не дают актуальную информацию приходят на пары лишь бы отработать а иногда и вовсе не посещают свои же лекции семинары,2022,1,3
34,Лучший вуз в Алтайском крае Прекрасные преподаватели профессионалы своего дела Есть возможность вести активную студенческую жизнь,2021,5,1
